iter	Passed	Remaining
196	1082	1664
197	1087	1658
198	1090	1649
199	1093	1639
200	1096	1630
201	1099	1622
202	1104	1615
203	1108	1608
204	1113	1601
205	1117	1594
206	1119	1585
207	1122	1576
208	1126	1568
209	1130	1560
210	1132	1551
211	1135	1542
212	1138	1533
213	1141	1525
214	1144	1516
215	1147	1508
216	1149	1499
217	1152	1490
218	1155	1482
219	1158	1474
220	1161	1466
221	1163	1457
222	1166	1448
223	1168	1440
224	1172	1433
225	1175	1425
226	1179	1418
227	1184	1412
228	1189	1407
229	1195	1403
230	1202	1400
231	1206	1394
232	1211	1387
233	1214	1380
234	1221	1377
235	1225	1370
236	1228	1363
237	1233	1358
238	1238	1352
239	1243	1346
240	1247	1340
241	1253	1336
242	1268	1341
243	1308	1372
244	1329	1383
245	1334	1377
246	1340	1372
247	1345	1366
248	1351	1362
249	1358	1358
250	1363	1352
251	1367	1345
252	1371	1338
253	1377	1334
254	1382	1328
255	1387	1322
256	1391	1316
257	1395	1308
258	1399	1302
259	1406	1297
260	1408	1290
261	1411	1282
262	1415	1275
263	1422	1272
264	1427	1265
265	1432	1260
266	1437	1254
267	1441	1247
268	1445	1241
269	1451	1236
270	1456	1230
271	1460	1223
272	1463	1216
273	1466	1209
274	1469	1202
275	1472	1194
276	1474	1187
277	1477	1179
278	1481	1173
279	1484	1166
280	1487	1159
281	1490	1152
282	1493	1145
283	1500	1141
284	1503	1134
285	1506	1126
286	1510	1121
287	1517	1117
288	1522	1111
289	1530	1108
290	1533	1101
291	1538	1096
292	1553	1097
293	1561	1093
294	1571	1091
295	1579	1088
296	1594	1089
297	1600	1084
298	1609	1082
299	1612	1075
300	1615	1067
301	1619	1061
302	1624	1056
303	1628	1050
304	1634	1045
305	1640	1039
306	1644	1033
307	1647	1027
308	1650	1020
309	1657	1015
310	1660	1008
311	1662	1001
312	1665	994
313	1668	988
314	1671	981
315	1673	974
316	1676	967
317	1679	960
318	1682	954
319	1687	949
320	1689	942
321	1692	935
322	1694	928
323	1700	923
324	1704	917
325	1706	911
326	1710	904
327	1719	901
328	1723	895
329	1728	890
330	1732	884
331	1736	878
332	1738	872
333	1741	865
334	1748	860
335	1751	854
336	1754	848
337	1759	843
338	1764	838
339	1768	832
340	1770	825
341	1775	820
342	1780	814
343	1784	809
344	1787	803
345	1794	798
346	1798	793
347	1809	790
348	1813	784
349	1816	778
350	1820	772
351	1825	767
352	1830	762
353	1839	758
354	1844	753
355	1848	747
356	1851	741
357	1855	735
358	1857	729
359	1862	724
360	1865	718
361	1869	712
362	1872	706
363	1876	701
364	1881	695
365	1886	690
366	1892	685
367	1903	682
368	1909	677
369	1917	673
370	1924	669
371	1935	665
372	1941	661
373	1945	655
374	1950	650
375	1954	644
376	1958	639
377	1963	633
378	1968	628
379	1972	622
380	1976	617
381	1982	612
382	1987	607
383	1992	601
384	2001	597
385	2006	592
386	2013	587
387	2020	583
388	2024	577
389	2035	573
390	2039	568
391	2048	564
392	2054	559
393	2058	553
394	2063	548
395	2067	543
396	2071	537
397	2081	533
398	2087	528
399	2094	523
400	2101	518
401	2105	513
402	2113	508
403	2119	503
404	2125	498
405	2130	493
406	2136	488
407	2142	483
408	2150	478
409	2158	473
410	2179	471
411	2183	466
412	2198	463
413	2232	463
414	2242	459
415	2246	453
416	2255	448
417	2260	443
418	2265	437
419	2271	432
420	2276	427
421	2282	421
422	2291	417
423	2301	412
424	2307	407
425	2311	401
426	2319	396
427	2323	390
428	2329	385
429	2335	380
430	2339	374
431	2343	368
432	2350	363
433	2356	358
434	2361	352
